area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,6 months,Mysore Road,4 BHK,,2039,5.0,2.0,90.46
Plot Area,6 months,Mysore Road,2 BHK,,1330,2.0,1.0,55.18
Carpet Area,1 Year,Kengeri,1 BHK,,606,2.0,2.0,21.53
Built-up Area,Ready To Move,Rajajinagar,5 BHK,,2748,6.0,1.0,176.16
Super built-up Area,Ready To Move,Koramangala,2 BHK,,993,2.0,3.0,89.45
Super built-up Area,Ready To Move,Jayanagar,4 BHK,,2410,5.0,2.0,175.84
Carpet Area,1 Year,Mysore Road,2 BHK,,992,2.0,2.0,37.6
Carpet Area,6 months,Rajajinagar,3 BHK,,1702,3.0,0.0,129.13
Built-up Area,1 Year,Brookefield,3 BHK,,1858,4.0,0.0,99.37
Super built-up Area,Ready To Move,Uttarahalli,5 BHK,,2956,5.0,3.0,125.13
Carpet Area,6 months,Yelahanka,3 BHK,,2041,3.0,1.0,90.34
Super built-up Area,6 months,Kengeri,1 BHK,,459,2.0,0.0,16.67
Built-up Area,Ready To Move,Malleswaram,3 BHK,,1559,4.0,0.0,121.46
Carpet Area,6 months,Sadashivanagar,2 BHK,,928,2.0,3.0,73.15
Plot Area,Ready To Move,Rajajinagar,3 BHK,,1495,4.0,1.0,87.27
Super built-up Area,1 Year,Bellandur,4 BHK,,1923,4.0,3.0,126.89
Carpet Area,6 months,Koramangala,3 BHK,,1899,4.0,2.0,129.63
Built-up Area,Ready To Move,Malleswaram,3 BHK,,1627,3.0,2.0,132.58
Plot Area,Ready To Move,Tumkur Road,2 BHK,,1362,3.0,1.0,49.49
Carpet Area,1 Year,Electronic City,3 BHK,,1367,4.0,0.0,76.47
Super built-up Area,6 months,Kanakapura Road,2 BHK,,1226,2.0,3.0,63.21
Super built-up Area,6 months,Electronic City,3 BHK,,2077,4.0,3.0,97.74
Built-up Area,6 months,Kengeri,1 BHK,,493,2.0,2.0,20.51
Super built-up Area,6 months,Vijayanagar,3 BHK,,1681,4.0,3.0,102.3
Plot Area,1 Year,Yeshwanthpur,1 BHK,,625,1.0,0.0,32.43
Built-up Area,1 Year,Horamavu,3 BHK,,1824,3.0,1.0,87.24
Built-up Area,6 months,HSR Layout,1 BHK,,591,2.0,3.0,46.25
Carpet Area,Ready To Move,Basaveshwara Nagar,4 BHK,,2126,4.0,0.0,129.66
Built-up Area,6 months,Hennur,2 BHK,,1264,3.0,1.0,65.79
Carpet Area,6 months,Jayanagar,3 BHK,,1839,3.0,3.0,117.14
Built-up Area,Ready To Move,Uttarahalli,2 BHK,,981,2.0,3.0,39.64
Carpet Area,6 months,Sarjapur Road,3 BHK,,2073,3.0,1.0,106.55
Carpet Area,Ready To Move,Brookefield,2 BHK,,1177,3.0,3.0,65.64
Carpet Area,1 Year,Bellandur,3 BHK,,1744,4.0,3.0,95.92
Plot Area,Ready To Move,Rajajinagar,2 BHK,,1324,2.0,3.0,82.95
Carpet Area,1 Year,Rajajinagar,3 BHK,,1830,4.0,2.0,132.54
Plot Area,6 months,Mysore Road,1 BHK,,468,1.0,1.0,17.38
Carpet Area,Ready To Move,Horamavu,2 BHK,,1153,3.0,2.0,50.46
Carpet Area,Ready To Move,Kanakapura Road,3 BHK,,1935,3.0,1.0,81.19
Plot Area,6 months,Malleswaram,1 BHK,,624,2.0,2.0,43.99
Plot Area,1 Year,Basaveshwara Nagar,2 BHK,,1385,2.0,3.0,97.05
Plot Area,Ready To Move,Horamavu,4 BHK,,1824,5.0,0.0,70.89
Plot Area,Ready To Move,Sadashivanagar,5 BHK,,2576,5.0,1.0,239.34
Carpet Area,6 months,Malleswaram,3 BHK,,1761,3.0,0.0,136.59
Carpet Area,1 Year,Rajajinagar,2 BHK,,1209,2.0,1.0,89.65
Built-up Area,6 months,Vijayanagar,2 BHK,,1037,3.0,1.0,53.31
Built-up Area,Ready To Move,Yeshwanthpur,3 BHK,,1970,3.0,3.0,122.48
Carpet Area,6 months,Electronic City,2 BHK,,982,3.0,1.0,47.45
Built-up Area,6 months,Malleswaram,4 BHK,,1800,4.0,3.0,120.22
Plot Area,1 Year,JP Nagar,2 BHK,,1376,2.0,3.0,93.25
Built-up Area,1 Year,Kanakapura Road,5 BHK,,2739,5.0,3.0,132.95
Plot Area,6 months,Brookefield,3 BHK,,2068,4.0,2.0,108.33
Carpet Area,6 months,JP Nagar,3 BHK,,1558,4.0,2.0,110.4
Built-up Area,6 months,Basaveshwara Nagar,1 BHK,,465,2.0,3.0,33.87
Plot Area,Ready To Move,Jayanagar,4 BHK,,2572,5.0,0.0,174.45
Carpet Area,1 Year,Basaveshwara Nagar,2 BHK,,1317,2.0,0.0,81.94
Carpet Area,Ready To Move,Kengeri,3 BHK,,1719,4.0,1.0,68.37
Plot Area,1 Year,Whitefield,4 BHK,,1873,4.0,0.0,102.76
Plot Area,1 Year,Marathahalli,2 BHK,,1227,3.0,1.0,63.16
Carpet Area,Ready To Move,HSR Layout,2 BHK,,991,2.0,1.0,67.03
Super built-up Area,Ready To Move,Whitefield,3 BHK,,1987,4.0,1.0,99.7
Super built-up Area,6 months,BTM Layout,2 BHK,,1037,2.0,2.0,61.13
Plot Area,1 Year,Bannerghatta Road,3 BHK,,1985,3.0,3.0,98.24
Built-up Area,1 Year,Yeshwanthpur,2 BHK,,1113,2.0,0.0,60.51
Plot Area,1 Year,Basaveshwara Nagar,2 BHK,,1198,2.0,3.0,70.74
Carpet Area,6 months,Basaveshwara Nagar,3 BHK,,1942,3.0,3.0,134.58
Plot Area,1 Year,Horamavu,3 BHK,,1380,4.0,2.0,61.58
Super built-up Area,1 Year,BTM Layout,2 BHK,,1310,3.0,1.0,85.57
Plot Area,Ready To Move,Hennur,4 BHK,,1938,4.0,3.0,104.95
Super built-up Area,Ready To Move,Mysore Road,4 BHK,,2158,4.0,1.0,77.42
Built-up Area,6 months,Bellandur,3 BHK,,1704,3.0,2.0,92.88
Built-up Area,1 Year,Bellandur,2 BHK,,1347,3.0,3.0,83.11
Built-up Area,6 months,Horamavu,2 BHK,,911,2.0,0.0,37.76
Plot Area,Ready To Move,Uttarahalli,3 BHK,,1769,3.0,3.0,60.18
Super built-up Area,1 Year,Horamavu,3 BHK,,1831,3.0,2.0,72.75
Plot Area,1 Year,Yelahanka,2 BHK,,1058,2.0,2.0,51.33
Built-up Area,6 months,Whitefield,3 BHK,,1567,3.0,3.0,89.77
Plot Area,1 Year,Malleswaram,2 BHK,,1145,2.0,0.0,100.0
Super built-up Area,1 Year,Kanakapura Road,1 BHK,,496,1.0,1.0,22.09
Carpet Area,Ready To Move,Rajajinagar,3 BHK,,1701,3.0,3.0,120.95
Super built-up Area,6 months,BTM Layout,3 BHK,,1923,3.0,3.0,116.55
Built-up Area,Ready To Move,Yeshwanthpur,2 BHK,,1322,3.0,0.0,72.0
Built-up Area,6 months,Bannerghatta Road,3 BHK,,1638,3.0,0.0,77.98
Built-up Area,Ready To Move,Basaveshwara Nagar,4 BHK,,2417,4.0,2.0,180.72
Plot Area,6 months,Uttarahalli,3 BHK,,1350,3.0,1.0,47.89
Super built-up Area,1 Year,Hosur Road,3 BHK,,1762,4.0,1.0,69.7
Plot Area,1 Year,Sarjapur Road,1 BHK,,693,2.0,3.0,34.21
Built-up Area,6 months,Indiranagar,2 BHK,,1056,3.0,1.0,72.77
Super built-up Area,6 months,Tumkur Road,2 BHK,,1197,2.0,2.0,39.91
Carpet Area,6 months,Sadashivanagar,3 BHK,,1921,3.0,2.0,170.91
Built-up Area,6 months,Devanahalli,3 BHK,,1806,3.0,0.0,71.27
Super built-up Area,1 Year,Hosur Road,2 BHK,,1109,2.0,0.0,47.49
Super built-up Area,6 months,Hebbal,2 BHK,,976,2.0,2.0,65.26
Built-up Area,1 Year,Hebbal,2 BHK,,1131,3.0,0.0,74.33
Carpet Area,1 Year,Koramangala,2 BHK,,1047,3.0,2.0,82.26
Super built-up Area,6 months,Electronic City,4 BHK,,2495,4.0,0.0,127.69
Super built-up Area,1 Year,Hennur,3 BHK,,1681,3.0,3.0,69.56
Carpet Area,6 months,Sarjapur Road,2 BHK,,1324,2.0,1.0,77.11
Built-up Area,1 Year,Koramangala,3 BHK,,1494,3.0,2.0,118.22
Super built-up Area,6 months,HSR Layout,3 BHK,,1663,4.0,0.0,118.46
Built-up Area,6 months,Basaveshwara Nagar,3 BHK,,1768,3.0,2.0,125.27
Plot Area,Ready To Move,Devanahalli,2 BHK,,963,3.0,3.0,41.17
Plot Area,Ready To Move,Rajajinagar,2 BHK,,1193,2.0,2.0,81.05
Carpet Area,6 months,Bannerghatta Road,2 BHK,,1045,2.0,0.0,56.42
Built-up Area,Ready To Move,Yeshwanthpur,4 BHK,,2029,4.0,0.0,118.58
Super built-up Area,1 Year,Bannerghatta Road,3 BHK,,1456,4.0,2.0,84.53
Carpet Area,6 months,Rajajinagar,3 BHK,,1612,3.0,2.0,106.43
Plot Area,6 months,Basaveshwara Nagar,2 BHK,,1364,2.0,0.0,78.34
Built-up Area,6 months,Uttarahalli,2 BHK,,915,2.0,3.0,37.45
Carpet Area,Ready To Move,Bannerghatta Road,2 BHK,,1326,2.0,3.0,81.33
Carpet Area,Ready To Move,Mysore Road,5 BHK,,2746,5.0,3.0,103.1
Built-up Area,1 Year,Bannerghatta Road,2 BHK,,1180,2.0,1.0,69.76
Super built-up Area,Ready To Move,Devanahalli,1 BHK,,578,2.0,1.0,24.38
Super built-up Area,Ready To Move,Hosur Road,5 BHK,,3407,6.0,1.0,159.89
Super built-up Area,1 Year,Hennur,3 BHK,,1927,3.0,2.0,101.73
Built-up Area,6 months,Uttarahalli,3 BHK,,2088,4.0,1.0,89.41
Plot Area,6 months,Uttarahalli,1 BHK,,648,1.0,2.0,28.62
Carpet Area,1 Year,Malleswaram,3 BHK,,1571,4.0,3.0,102.5
Built-up Area,Ready To Move,Yelahanka,2 BHK,,1381,2.0,0.0,61.95
Super built-up Area,1 Year,Bellandur,3 BHK,,2087,3.0,1.0,119.29
Super built-up Area,1 Year,Hosur Road,1 BHK,,480,1.0,0.0,23.85
Carpet Area,6 months,Rajajinagar,2 BHK,,1350,3.0,1.0,100.38
Carpet Area,Ready To Move,Marathahalli,3 BHK,,1848,3.0,1.0,94.13
Carpet Area,6 months,Yelahanka,3 BHK,,2041,3.0,0.0,90.19
Carpet Area,6 months,Hebbal,3 BHK,,2036,3.0,3.0,136.11
Carpet Area,1 Year,Kanakapura Road,1 BHK,,672,1.0,3.0,30.62
Built-up Area,6 months,BTM Layout,2 BHK,,1342,3.0,3.0,84.63
Super built-up Area,6 months,Sadashivanagar,3 BHK,,1438,3.0,0.0,134.35
Super built-up Area,6 months,Yelahanka,3 BHK,,1457,4.0,2.0,65.88
Built-up Area,Ready To Move,Kanakapura Road,5 BHK,,2397,5.0,0.0,96.1
Plot Area,Ready To Move,Vijayanagar,3 BHK,,1418,3.0,2.0,88.35
Super built-up Area,6 months,Malleswaram,3 BHK,,1614,4.0,3.0,109.09
Plot Area,1 Year,Sadashivanagar,4 BHK,,2483,5.0,2.0,186.07
Plot Area,1 Year,JP Nagar,2 BHK,,1077,2.0,3.0,63.31
Plot Area,6 months,Indiranagar,2 BHK,,1260,2.0,3.0,96.45
Plot Area,Ready To Move,Kengeri,2 BHK,,1310,3.0,3.0,48.93
Super built-up Area,1 Year,Uttarahalli,2 BHK,,1233,2.0,3.0,52.37
Super built-up Area,1 Year,Electronic City,3 BHK,,1698,4.0,0.0,95.99
Built-up Area,Ready To Move,Jayanagar,3 BHK,,1571,3.0,1.0,102.92
Super built-up Area,Ready To Move,Hennur,3 BHK,,1443,4.0,1.0,73.95
Built-up Area,1 Year,BTM Layout,2 BHK,,1146,2.0,1.0,60.1
Plot Area,6 months,Malleswaram,3 BHK,,1889,3.0,0.0,127.99
Built-up Area,1 Year,Brookefield,2 BHK,,1174,2.0,3.0,66.34
Built-up Area,Ready To Move,Bannerghatta Road,3 BHK,,1891,4.0,3.0,117.42
Super built-up Area,Ready To Move,BTM Layout,2 BHK,,1067,3.0,3.0,73.56
Built-up Area,Ready To Move,Vijayanagar,4 BHK,,1866,4.0,1.0,92.74
Plot Area,Ready To Move,Hosur Road,2 BHK,,1285,2.0,3.0,53.31
Super built-up Area,6 months,Bellandur,2 BHK,,1009,2.0,2.0,66.92
Super built-up Area,1 Year,Uttarahalli,3 BHK,,1812,3.0,0.0,64.24
Super built-up Area,Ready To Move,Tumkur Road,4 BHK,,2604,4.0,3.0,106.86
Carpet Area,Ready To Move,Marathahalli,3 BHK,,1454,3.0,3.0,69.55
Plot Area,Ready To Move,Vijayanagar,3 BHK,,1798,3.0,3.0,105.13
Built-up Area,1 Year,Malleswaram,5 BHK,,3111,5.0,2.0,237.61
Carpet Area,Ready To Move,Yeshwanthpur,5 BHK,,3183,6.0,3.0,184.59
Super built-up Area,1 Year,Hennur,3 BHK,,1460,3.0,1.0,75.8
Carpet Area,6 months,Hennur,3 BHK,,1968,3.0,3.0,81.29
Carpet Area,Ready To Move,Jayanagar,2 BHK,,947,2.0,1.0,65.67
Built-up Area,6 months,Hosur Road,4 BHK,,2319,5.0,1.0,102.67
Plot Area,1 Year,Mysore Road,2 BHK,,1121,3.0,3.0,40.28
Carpet Area,6 months,Kengeri,5 BHK,,2527,6.0,2.0,89.62
Plot Area,Ready To Move,Bellandur,1 BHK,,525,1.0,1.0,27.76
Plot Area,6 months,Rajajinagar,2 BHK,,982,2.0,3.0,61.14
Super built-up Area,6 months,Koramangala,3 BHK,,1669,4.0,3.0,149.81
Super built-up Area,6 months,Horamavu,2 BHK,,917,2.0,2.0,40.96
Built-up Area,6 months,Marathahalli,2 BHK,,1344,2.0,3.0,75.83
Built-up Area,6 months,Yeshwanthpur,3 BHK,,1472,4.0,0.0,91.46
Carpet Area,1 Year,Devanahalli,3 BHK,,2014,3.0,0.0,90.86
Super built-up Area,1 Year,Koramangala,3 BHK,,1997,3.0,0.0,157.39
Plot Area,Ready To Move,Kanakapura Road,2 BHK,,1125,2.0,3.0,48.19
Plot Area,1 Year,Uttarahalli,3 BHK,,1723,3.0,1.0,64.77
Carpet Area,1 Year,Horamavu,2 BHK,,1050,2.0,2.0,40.98
Super built-up Area,Ready To Move,Sarjapur Road,2 BHK,,1398,2.0,3.0,84.54
Built-up Area,1 Year,Sadashivanagar,3 BHK,,1853,4.0,1.0,171.24
Carpet Area,Ready To Move,Jayanagar,4 BHK,,2751,4.0,3.0,205.4
Plot Area,Ready To Move,Uttarahalli,3 BHK,,1661,3.0,0.0,63.73
Super built-up Area,1 Year,BTM Layout,3 BHK,,2012,3.0,0.0,125.25
Built-up Area,6 months,Electronic City,2 BHK,,1124,3.0,1.0,55.39
Built-up Area,Ready To Move,Uttarahalli,3 BHK,,2000,3.0,1.0,73.83
Plot Area,6 months,Indiranagar,2 BHK,,965,3.0,1.0,73.44
Plot Area,Ready To Move,Electronic City,5 BHK,,3046,6.0,2.0,167.72
Plot Area,1 Year,Hosur Road,4 BHK,,2478,5.0,1.0,116.02
Plot Area,6 months,Brookefield,3 BHK,,1842,3.0,0.0,88.11
Built-up Area,Ready To Move,Bannerghatta Road,3 BHK,,1685,4.0,0.0,86.26
Super built-up Area,1 Year,Bannerghatta Road,3 BHK,,1862,3.0,2.0,95.72
Built-up Area,6 months,Bannerghatta Road,3 BHK,,1529,3.0,3.0,87.68
Plot Area,1 Year,Yeshwanthpur,2 BHK,,1197,2.0,1.0,74.24
Super built-up Area,1 Year,Sadashivanagar,2 BHK,,1177,3.0,2.0,99.55
Built-up Area,6 months,Malleswaram,3 BHK,,1588,3.0,3.0,137.92
Super built-up Area,Ready To Move,Bannerghatta Road,4 BHK,,2578,5.0,3.0,154.76
Built-up Area,Ready To Move,Rajajinagar,2 BHK,,940,2.0,1.0,70.42
Super built-up Area,1 Year,Bellandur,2 BHK,,985,2.0,0.0,55.0
Built-up Area,Ready To Move,Bannerghatta Road,2 BHK,,1135,3.0,1.0,60.02
Built-up Area,6 months,Mysore Road,4 BHK,,2691,4.0,1.0,106.34
Carpet Area,6 months,Hosur Road,2 BHK,,1187,3.0,0.0,52.46
Plot Area,1 Year,Sadashivanagar,2 BHK,,1321,3.0,0.0,126.13
Carpet Area,1 Year,Tumkur Road,3 BHK,,1738,3.0,0.0,61.48
Built-up Area,6 months,Jayanagar,3 BHK,,1939,3.0,3.0,152.26
Plot Area,6 months,Marathahalli,1 BHK,,531,1.0,3.0,29.99
Built-up Area,1 Year,Tumkur Road,1 BHK,,653,1.0,1.0,23.1
Carpet Area,1 Year,Hennur,3 BHK,,1651,3.0,2.0,78.65
Super built-up Area,6 months,HSR Layout,3 BHK,,1769,3.0,1.0,112.11
Super built-up Area,1 Year,Mysore Road,5 BHK,,2469,6.0,2.0,88.24
Plot Area,Ready To Move,Hebbal,3 BHK,,2040,3.0,1.0,136.5
Carpet Area,6 months,HSR Layout,1 BHK,,625,2.0,1.0,46.2
Carpet Area,6 months,Electronic City,3 BHK,,1994,3.0,1.0,89.97
Built-up Area,1 Year,Devanahalli,2 BHK,,1003,2.0,3.0,48.57
Plot Area,1 Year,Basaveshwara Nagar,2 BHK,,933,2.0,1.0,53.99
Super built-up Area,6 months,HSR Layout,4 BHK,,2137,5.0,2.0,141.6
Carpet Area,1 Year,Horamavu,4 BHK,,2316,4.0,3.0,89.26
Built-up Area,Ready To Move,Sarjapur Road,2 BHK,,1301,3.0,1.0,62.71
Plot Area,1 Year,Sadashivanagar,2 BHK,,1098,2.0,0.0,84.87
Carpet Area,6 months,Sadashivanagar,1 BHK,,517,1.0,3.0,48.32
Carpet Area,1 Year,Malleswaram,2 BHK,,1086,2.0,0.0,95.37
Super built-up Area,6 months,Basaveshwara Nagar,3 BHK,,1877,3.0,1.0,140.66
Carpet Area,Ready To Move,Koramangala,2 BHK,,1068,2.0,2.0,87.51
Super built-up Area,6 months,Malleswaram,5 BHK,,3473,6.0,0.0,283.45
Carpet Area,Ready To Move,Rajajinagar,1 BHK,,493,2.0,0.0,33.51
Built-up Area,Ready To Move,Tumkur Road,3 BHK,,1914,4.0,3.0,71.51
Built-up Area,Ready To Move,Bellandur,4 BHK,,2389,5.0,0.0,147.81
Built-up Area,Ready To Move,Hosur Road,3 BHK,,1524,4.0,1.0,78.31
Plot Area,Ready To Move,Electronic City,1 BHK,,638,2.0,3.0,27.12
Plot Area,1 Year,Sarjapur Road,2 BHK,,1123,2.0,0.0,57.26
Built-up Area,Ready To Move,Jayanagar,2 BHK,,1241,2.0,2.0,84.8
Built-up Area,1 Year,Bannerghatta Road,5 BHK,,3077,5.0,3.0,161.88
Built-up Area,1 Year,Bellandur,4 BHK,,1910,4.0,2.0,115.99
Super built-up Area,1 Year,Sadashivanagar,4 BHK,,2639,5.0,2.0,226.57
Built-up Area,6 months,Indiranagar,4 BHK,,2481,4.0,3.0,171.95
Plot Area,6 months,Yeshwanthpur,2 BHK,,1290,3.0,0.0,73.46
Super built-up Area,Ready To Move,Yelahanka,4 BHK,,2247,5.0,0.0,115.21
Built-up Area,1 Year,Tumkur Road,5 BHK,,2493,5.0,2.0,95.5
Plot Area,6 months,Hosur Road,2 BHK,,1063,2.0,0.0,53.17
Super built-up Area,1 Year,Malleswaram,2 BHK,,1350,2.0,3.0,100.13
Super built-up Area,6 months,Hennur,3 BHK,,2053,3.0,2.0,82.82
Plot Area,1 Year,Whitefield,2 BHK,,1140,2.0,1.0,62.39
Plot Area,6 months,Malleswaram,1 BHK,,524,1.0,1.0,35.7
Super built-up Area,Ready To Move,Jayanagar,4 BHK,,2530,4.0,1.0,168.51
Plot Area,Ready To Move,Brookefield,4 BHK,,2565,4.0,0.0,138.31
Super built-up Area,Ready To Move,Malleswaram,2 BHK,,1307,2.0,1.0,105.28
Super built-up Area,1 Year,Jayanagar,2 BHK,,915,2.0,1.0,62.4
Super built-up Area,Ready To Move,Vijayanagar,4 BHK,,1809,5.0,2.0,113.48
Super built-up Area,Ready To Move,Sadashivanagar,3 BHK,,1617,3.0,3.0,129.94
Built-up Area,6 months,Koramangala,2 BHK,,976,3.0,2.0,68.49
Plot Area,6 months,JP Nagar,3 BHK,,1953,4.0,2.0,110.82
Built-up Area,6 months,Basaveshwara Nagar,4 BHK,,2332,5.0,1.0,177.93
Built-up Area,Ready To Move,Hebbal,4 BHK,,2625,4.0,2.0,157.31
Built-up Area,6 months,Brookefield,2 BHK,,988,2.0,1.0,53.96
Built-up Area,6 months,Yelahanka,2 BHK,,1213,2.0,0.0,52.28
Super built-up Area,Ready To Move,Horamavu,4 BHK,,2380,4.0,1.0,114.6
Super built-up Area,6 months,Kengeri,1 BHK,,535,2.0,3.0,22.93
Super built-up Area,1 Year,Yeshwanthpur,3 BHK,,1737,3.0,2.0,97.83
Carpet Area,6 months,Bannerghatta Road,2 BHK,,1194,3.0,3.0,68.19
Super built-up Area,1 Year,Hennur,2 BHK,,1344,3.0,3.0,60.98
Built-up Area,6 months,BTM Layout,2 BHK,,927,2.0,2.0,49.1
Carpet Area,6 months,Jayanagar,2 BHK,,1311,3.0,2.0,101.13
Carpet Area,1 Year,BTM Layout,4 BHK,,2780,4.0,2.0,192.45
Carpet Area,Ready To Move,BTM Layout,1 BHK,,632,1.0,3.0,40.1
Super built-up Area,1 Year,Malleswaram,4 BHK,,2537,4.0,0.0,181.07
Built-up Area,Ready To Move,Marathahalli,4 BHK,,2017,5.0,3.0,105.63
Super built-up Area,6 months,Hebbal,2 BHK,,1161,2.0,0.0,79.61
Plot Area,Ready To Move,Hennur,3 BHK,,1879,4.0,1.0,83.54
Carpet Area,Ready To Move,JP Nagar,2 BHK,,1201,2.0,2.0,81.75
Plot Area,1 Year,Bannerghatta Road,3 BHK,,1638,3.0,3.0,92.24
Carpet Area,Ready To Move,Uttarahalli,3 BHK,,2055,3.0,0.0,83.64
Carpet Area,Ready To Move,Devanahalli,2 BHK,,1156,2.0,0.0,44.69
Plot Area,1 Year,Kanakapura Road,2 BHK,,1384,2.0,0.0,53.58
Plot Area,Ready To Move,Vijayanagar,3 BHK,,1772,3.0,2.0,99.34
Super built-up Area,Ready To Move,Horamavu,4 BHK,,2593,5.0,0.0,133.77
Plot Area,1 Year,Hebbal,2 BHK,,1271,2.0,2.0,70.17
Plot Area,1 Year,Yelahanka,3 BHK,,1845,4.0,3.0,92.34
Built-up Area,1 Year,JP Nagar,2 BHK,,907,2.0,0.0,60.07
Plot Area,Ready To Move,Yeshwanthpur,4 BHK,,1877,4.0,0.0,109.27
Super built-up Area,6 months,Yeshwanthpur,1 BHK,,595,1.0,2.0,34.88
Carpet Area,1 Year,Sarjapur Road,3 BHK,,2033,3.0,2.0,115.09
Carpet Area,1 Year,Kengeri,2 BHK,,1200,3.0,3.0,53.19
Built-up Area,Ready To Move,Tumkur Road,3 BHK,,1526,4.0,2.0,55.45
Super built-up Area,6 months,Marathahalli,4 BHK,,2120,5.0,3.0,133.53
Carpet Area,6 months,Brookefield,3 BHK,,1817,4.0,3.0,101.74
Built-up Area,Ready To Move,Indiranagar,3 BHK,,1797,4.0,0.0,152.63
Carpet Area,1 Year,Yelahanka,3 BHK,,2066,4.0,1.0,90.19
Super built-up Area,Ready To Move,Horamavu,4 BHK,,2329,5.0,1.0,104.57
Plot Area,6 months,Yelahanka,3 BHK,,1616,3.0,2.0,68.38
Built-up Area,1 Year,Malleswaram,4 BHK,,2324,4.0,2.0,171.97
Plot Area,6 months,Marathahalli,3 BHK,,1939,4.0,1.0,94.49
Super built-up Area,6 months,HSR Layout,3 BHK,,1755,3.0,3.0,136.99
Super built-up Area,6 months,Kanakapura Road,2 BHK,,1063,3.0,1.0,50.31
Carpet Area,6 months,Brookefield,3 BHK,,1603,3.0,3.0,98.06
Carpet Area,1 Year,Hosur Road,2 BHK,,1278,3.0,3.0,56.95
Built-up Area,1 Year,Bannerghatta Road,4 BHK,,1866,4.0,2.0,111.4
Carpet Area,1 Year,Hebbal,3 BHK,,1556,3.0,2.0,105.11
Carpet Area,Ready To Move,Hebbal,5 BHK,,2441,5.0,2.0,141.92
Super built-up Area,1 Year,Hennur,1 BHK,,686,2.0,1.0,31.22
Super built-up Area,6 months,Hennur,2 BHK,,945,2.0,1.0,44.76
Built-up Area,6 months,Electronic City,4 BHK,,2558,5.0,1.0,109.23
Plot Area,1 Year,Sarjapur Road,2 BHK,,1215,3.0,3.0,75.37
Built-up Area,1 Year,Kengeri,3 BHK,,1824,3.0,2.0,70.75
Super built-up Area,Ready To Move,Hebbal,4 BHK,,2563,5.0,0.0,154.34
Super built-up Area,1 Year,Brookefield,3 BHK,,1650,3.0,1.0,99.91
Built-up Area,Ready To Move,Tumkur Road,2 BHK,,1100,3.0,0.0,39.52
Built-up Area,1 Year,Devanahalli,4 BHK,,2088,4.0,0.0,81.27
Plot Area,Ready To Move,Bellandur,1 BHK,,599,1.0,1.0,31.13
Super built-up Area,1 Year,Basaveshwara Nagar,4 BHK,,2729,4.0,1.0,185.76
Carpet Area,1 Year,HSR Layout,1 BHK,,680,2.0,1.0,40.39
Super built-up Area,1 Year,Tumkur Road,3 BHK,,1877,4.0,2.0,76.31
Carpet Area,Ready To Move,Marathahalli,1 BHK,,676,1.0,0.0,37.58
Carpet Area,6 months,Bannerghatta Road,3 BHK,,2072,3.0,3.0,112.96
Carpet Area,Ready To Move,Brookefield,1 BHK,,648,2.0,0.0,33.86
Plot Area,1 Year,Hebbal,4 BHK,,2207,4.0,3.0,121.13
Built-up Area,6 months,Kanakapura Road,3 BHK,,1712,3.0,0.0,81.66
Carpet Area,Ready To Move,Sarjapur Road,1 BHK,,682,1.0,0.0,33.63
Built-up Area,Ready To Move,Sarjapur Road,3 BHK,,1852,3.0,2.0,108.41
Carpet Area,6 months,Sadashivanagar,3 BHK,,1965,4.0,3.0,153.07
Plot Area,1 Year,Tumkur Road,2 BHK,,958,3.0,1.0,37.88
Carpet Area,6 months,Vijayanagar,1 BHK,,498,1.0,1.0,29.22
Built-up Area,1 Year,Hosur Road,2 BHK,,1072,3.0,2.0,48.32
Plot Area,6 months,Indiranagar,1 BHK,,497,2.0,1.0,46.26
Built-up Area,Ready To Move,Tumkur Road,1 BHK,,676,1.0,0.0,24.89
Built-up Area,Ready To Move,Indiranagar,2 BHK,,1008,2.0,2.0,91.04
Built-up Area,Ready To Move,Hebbal,3 BHK,,1767,4.0,3.0,96.69
Carpet Area,1 Year,Basaveshwara Nagar,3 BHK,,1414,3.0,2.0,90.78
Plot Area,1 Year,Koramangala,1 BHK,,488,1.0,0.0,34.34
Plot Area,6 months,Yelahanka,5 BHK,,2559,6.0,2.0,130.61
Plot Area,1 Year,Basaveshwara Nagar,4 BHK,,2782,5.0,0.0,195.57
Super built-up Area,1 Year,Mysore Road,2 BHK,,1298,3.0,2.0,51.84
Super built-up Area,6 months,Sarjapur Road,2 BHK,,1236,2.0,3.0,71.15
Plot Area,1 Year,Bannerghatta Road,4 BHK,,2716,5.0,3.0,162.84
Carpet Area,6 months,Malleswaram,3 BHK,,2067,4.0,1.0,171.24
Super built-up Area,1 Year,Bannerghatta Road,2 BHK,,1126,3.0,0.0,56.09
Carpet Area,1 Year,Hosur Road,3 BHK,,1595,4.0,1.0,67.91
Carpet Area,Ready To Move,Brookefield,3 BHK,,1586,4.0,2.0,86.01
Super built-up Area,1 Year,Sarjapur Road,2 BHK,,917,3.0,2.0,45.12
Built-up Area,6 months,Bellandur,3 BHK,,1559,3.0,2.0,87.4
Built-up Area,6 months,Indiranagar,3 BHK,,1616,4.0,2.0,120.61
Built-up Area,Ready To Move,Jayanagar,3 BHK,,1377,3.0,3.0,113.89
Super built-up Area,6 months,Indiranagar,4 BHK,,2682,5.0,2.0,235.7
Carpet Area,Ready To Move,Kanakapura Road,2 BHK,,1323,3.0,3.0,65.97
